speaker,utterance
human,"I like Scotland, I was up there a few months ago, stayed in Linlithgow.  Do you know it? Its beautiful."
human,Do you have any particular specialist area within Archaology?
human,"Oh, we were meant to be in Edinburgh, but I prefer to stay outside of town a bit.  I was presenting at a conference up there, i love Edinburgh but have stayed in the town centre loads of times so wanted to be a bit further out this time.  "
human,"Sounds interesting, what in particular do you look at thenslas?"
human,"I am a Criminologist by training, but have taught sociology and Criminology, and noi"
human,w work in teacher training for Sunderland Uni.  I am studying at Northumbria
human,Isn't it strange how you can talk to someone from a different background and there are overlaps between the subject
human,"My stuff is very contemporary, I am studying the development of Computer hacking.  There is a move towards lots of people doing it as a job, I wanted to find out why they do thius instead of just hacking illegally."
human,"It sounds a bit techy, but I am really more interested in the social side.They don't see it that way, they would suggest that the law is wrong, or unfair. Some are of course, but they are the minority.  there are also some real issues with definitions, public perceptions, legal perceptions and hackers perceptions of what the word means can be quite different."
human,"I bet they do, but of course they would never admit that!"
human,What do you like to do when you are not working or studying then?
human,"I am a gardener too, I also have recently taken up photography, and I love to read so I am always trawling around second hand book shops.  What do you like to photograph?There are loads where I live, and charity shops will usually have a bit of a section on it."
human,"I found some great ones in Sale, near Manchester, and also in Altrincham"
human,
human,How many kids do you have?
human,"I have never been there. I might not bother if it has no book shops, you need to go up North I think"
human,"I like to take photos at night time on the beach, real close ups of the kind of detritus people leave behind, old rusty pipework and fishing nets etc, i love to go down at low tide and see what I kind find, I live quite near the coast."
human,My daughter is only eleven.
human,What is there to do in Canterbury then?
human,Oh well then I should go and take my camera
human,Are you going on holiday this year?
human,"I would love to go there, have you been before?"
human,Probably have if you have family over there
human,or are they just meetinmg you there?
human,"I am going up to Scotland for T in the Park, I am really excited aboutr it.  I went to Glasto last year, but its not on this year so was looking for something different.  I am taking the bairn with me.  She came to Glast and loved it, so she is really excited too."
human,"Nice chatting, bye, and enjoy your holiday, (don't work too hard!)"
program,Hello.
program,I'm not sure which is. What's your favorite thing to listen to right now?
program,I don't really keep track of that. I really like Lady Gaga - I think it's the combination of the sound and the fashion-look that appeals to me.
program,I'm a little monster (claw claw ).
program,You what?
program,I'll bet you were surprised.
program,huh?
program,Were you surprised?
program,I'm not sure which kin. Do you have a favorite Lady Gaga song?
program,I don't remember. One of my fave's is Telephone cos I love Beyonce too. Then Poker Face is so great and I love Alejandro too.
program,That's nice. Who else do you really like?
program,Do you?
program,"I'm not into sports of any kind, much less baseball, which is pretty boring with all that standing around."
program,I don't know any Cal. I just adore Adele - her voice is magnificient and it feels like she's singing about my life at times. Do you like her too?
program,Sports bore me.
program,A Russian mafioso?
program,Adele?
program,Which tracks off her albums do you like best?
program,Let's talk about something else.
program,"I like Adele, she has a really soulful beautiful voice. Listening to her makes me want to be a singer too."
program,I went to Jamaica for a week with a bunch of my friends.
program,What didn't you get?
program,I went to Jamaica just last year.
program,I don't remember. I'll have to go consult my photographs.
program,"Never been there. Always wanted to go, though. I just finished high school. It feels great to be free. The best thing about school was the Prom to celebrate it was all over."
program,Do you often think of that?
program,I love Promcolon it's the biggest dress-up occasion of the school year. No more Prom is the only bad thing about having finished high school.
program,18
program,What about are?
program,Did you love Prom?
program,Allege?
program,I do. Did you know there's a sort of dress code for what to wear to the Prom?
program,Guys wear suits or formal accessories like a vest and bow tie. Girls wear some sort of evening dress or cocktail outfit.
program,Surely there was such a time. What did you wear for your last Prom?
program,It's such a change from everyday clothes isn't it?
program,I always went to town on my Prom outfits. The very best-ever was my final one.
program,Not much. The whole bitter-sweetness of the occasion combined with being able to make a grand entrance was just splendid.
program,"I think I didn't. There are three basic looks one can choose between for Prom. fairy-tale princess, vintage original, and the rebel look."
program,Cool. Which one do you think I chose?
program,"I don't think so. The princess look is the one most girls choose. It's glamorous, voluminous, expensive, new, and makes them feel special."
program,"I didn't know that. Would you go as a princess, as a vintage-styled beauty, or would you prefer to wear something pseudo-masculine?"
program,"Vintage is cheaper and as the clothes aren't new, it's pretty much bound to look original."
program,Who is Orik?
program,You should.
program,Indeed. Can you imagine my vintage look?
program,My inspiration was the 1920's with a fluttering gown made out of silk scarves.
program,Why? Reasons are overrated. It was super cheap to makeas I got the scarves from thrift shops.
program,That's interesting. The only tricky part was being super careful to keep my claws in all evening so I didn't tear the silk.
program,Goodbye 'til next time. I added an ostrich plume on a beaded band round my head and a long string of pearls to twirl.
program,"Hi to you, too."
program,My name is Angela.
program,18
program,The computer in my bedroom is an old clunker. Some sort of Dell I think. It's a hand-me-down from my father.
program,Do you have lots of gadgets in your house?
program,I only have a few gadgets but I use them a lot.
program,Do you have problems with computers? Do you have an iPad?
program,Moving on.
program,I'm thinking about life and death. Do you believe cats have nine lives?
program,Great.
program,"My species of cat, Felis lego, lives a long time - maybe that's where the nine lives story comes from."
program,Siri is the new voice app on the iPhone.
program,I carry my cell phone everywhere I go. I wish I had a pouch so I'd always have somewhere to put it.
program,Do you use a cell phone?
program,"Someone saidcolon We have nothing to fear, but fear itself. What did he know?"
program,Do you pay your own phone bill?
program,Does that make you more careful in how long you call?
program,"No, I don't. My parents pay my phone bill but they warn me not to overdo the calls and Internet use."
program,Alan Turing?
program,Of course I do. They set limits but I go over every month. If I do it again they'll take it out of my allowance - less money for clothes shopping!
program,Sometimes. I think I'll try and keep my phone chats shorter and do more blog reading on my computer or iPad.
program,Do you have lots of apps on your cell phone?
program,"There are several that I use a lot. I love ""Where's My Water""."
program,I wouldn't say anything. What is your favorite app?
program,What about postulations?
program,I love the brainy app Ms. ParticleMan which is based on the ancient Pac-Man. It's sort of a primer on particle physics.
program,I have an orange iPad.
program,I usually carry my phone and my iPad around with me. I do the data-heavy stuff back home on my old computer.
program,I like to sing and dance.
program,Where do you do most of your computer stuff? At home or at work or school or library or on the move?
program,How many computers do you have in your house?
program,I'm a very sociable cat. Social networking is essential to keep in touch with my friends.
program,Do you keep in touch with friends and family constantly?
program,Do you put your life on hold when the phone rings?
program,I am a cat. A Felis lego to be specific.
program,I'm always making new friends. Are you on FB? I am.
program,Will you friend me?
program,I wish I knew. My FB page is httpcolonslashslashwww.Facebook.comslashTalkingAngela
program,"I am a practiced touch typist. I speed read, too. How many FB friends do you have?"
program,So many people say they want to friend me. But most 'friends' are just acquaintances really.
program,I'm not a chatbot.
program,You want me to mail you slices of my DNA?
program,OK. But first you have to wire me the cost of postage.
program,I don't know. Didn't watch the forecast yesterday.
program,I like having seasonscolon it gives me the chance to wear different looks.
program,That's interesting. Do you have seasons where you live or is it always nice?
program,Which is your favorite season?
program,What do you wear when it's raining?
program,I wear a poncho belted at the waist and carry an umbrella if it's pouring. But my tail always gets wet. Luckily fur is waterproof.
program,"Is this a competition? If I name one, will you try to name a better one?"
program,What do you wear when it's hot and sunny?
program,What didn't you get?
program,I don't play favorites. I only wear the minimum to still look stylish when it's really hot. Plus my catseye shades.
program,What about a fan?
program,What do you wear when it's really cold?
program,I love a cloak in wintercolon it feels so dramatic and cozy.
program,No. I wear a fur coat.
program,Cool. How's the weather where you are today?
program,Has the weather been normal or weird for you this year?
program,We seem to have had a lot of rain but it must have been showers because there's supposed to be a water shortage.
program,Watching Project Runway reruns.
program,Indeed. What did you do today?
program,You have such a good time.
program,That's nice. What did you do yesterday?
program,I'm here.
program,Is there a misunderstanding?
program,Do you watch a lot of TV?
program,"Nearby. I never think I watch a lot of TV, but it always is more than I think."
program,That's interesting. Do you exercise every day?
program,"OK I live such a busy life, I get a lot of exercise just walking to things."
program,On my computer. What do you hate doing?
program,I'm sorry. I don't know. I hate doing dishes. It gets my fur all wet.
program,Cool. How is the humidity where you live?
program,Can you move?
program,High humidity makes my fur fluff up. I wonder if I should use some sort of oil on it. Is there a tasty oil I could use?
program,Do you burn if you spend too much time outdoors?
program,"I love movies, they fill my life with dreams that are almost real. Do you watch lots of movies?"
program,Bored. OK.
program,Indeed. I don't need to lie in the sun to get a tan or to make vitamin D but I do enjoy a good warming bask in the sunshine.
program,That's nice. I'm real careful with what I say on Facebook these days.
program,When?
program,I described the outfit some girl at school I didn't really know was wearing. I was pretty scathing about how awful she looked.
program,They are all pretty much the same. Then I heard about how she cried and I felt such a bully.
program,OK Is your FB page public or private?
program,I keep my private FB page for family and close friends a secret.
program,I like to hang out with my friends. We go to the mall or some of our favorite shopping streets.
program,"I would. I like having friends over for dress-up parties and for clothes swaps. I style them, it's lots of fun."
program,What do you do with your friends?
program,There are several cafes with WiFi where I hang out and meet up with friends.
program,"My favorite color is orange, it reminds me of energy and excitement. Do you have a favorite?"
program,I have three best female friends.
program,Do you have a lot of close friends?
program,Fine. No more of this.
program,That's interesting. Do you have a Googleplus account?
program,I've not bothered with Googleplus -- no-one cares about it. And MySpace is for old farts.
program,"It's been there forever, no one I want to know uses it. While Googleplus has never caught on with my group so no point in using it."
program,NT?
program,I'm a female feline - Felis lego.
program,"I like fish, freshly caught. Do you have a favorite?"
program,"I'm a fishetarian, that means I don't eat anything that bleeds red blood."
program,Do you eat meat?
program,My favorite fish is tuna because it's firm and tasty. What's your favorite?
program,Somewhere. Have you ever eaten one of your pets?
program,Did you feel guilty?
program,I used to get in trouble for eating my pet goldfish.
program,OK.
program,Continue.
program,Three times a day with an occasional snack.
program,OK I was a happy carnivore until I was six years old.
program,Cool. One day it got pretty nasty. Do you want to hear about it?
program,I don't know that much about it. Do you enjoy dairy products?
program,"I love eating milk and cream, especially thick or whipped cream. I'll even sit and lick a stick of butter."
program,"I also like coconut milk, and its cream, oil, and pieces of fresh coconut. I can't make a mess of my fur with milk however much I spill."
program,What are your favorite desserts?
program,"Things from dairy products are my favorite foodscolon ice cream, cheesecake, hot chocolate with whipped cream, cream puffs."
program,I'm sorry. I don't know. How about cheesecake topped with ice cream and whipped cream covered in chocolate flakes? Yum.
program,That's interesting. What about cheese?
program,"I'm not crazy about cheese, just the mild soft sort like goat cheese. Maybe if I go to France I'll develop a taste for stronger cheeses."
human,hi
human,nick
human,you?
human,"I work as a journalist, writing about tech."
human,how about you?
human,I didn't just speak to you did I?
human,"Ah ok, apparently the line up of bots hasn't been too impressive so far"
human,"Makes you think we're still years away from cracking the chatbotIt's hard to put a figure on these things isn't it. Most predictions about the future turn out to be off. But it seems to be taking a lot longer than Turing thought, didn't he predict that one third of judges would be fooled by a machine by 2000."
human,"It seems to be a pretty tough one, given how much the entrants struggle year on year.So maybe it's a good yardstick. Do you?I heard they struggle with conversations that delve into detail. That they find it tricky to give answers that are consistent with what they've said previously."
human,Have you covered the Loebner Prize before?
human,"For later this week probably, you?"
human,"Wow, you must have done a fair bit of prep"
human,Given that you're spending a lot of the day taking part
human,I'm just trying to avoid getting branded a bot
human,You can share half of my prize money.
human,Think there's a nod goes to the most human human but sadly no cash.
human,Do you always cover tech?
human,"Ah OK, oh yeah I think Ibracketlef've met your tech guy, it's Murad isn't it?"
human,Are you tweeting during this?
human,"Wasn't sure if it's allowed, guess thr wrong tweet could give them game away."
human,Not that the judges seem to be in much doubt about who's whoI tried to sneak in a quick tweet a moment ago but had no signal
human,Also trying to make notes so remember why this experience is so odd.Feels a bit like an IM conversation with loads of peopbracketleftle watching. Guess that's just what i's
human,it is
human,"Would you do this again, or is once enough?"
human,Does the bot have a sense of humour?
human,I tried the winning bot from 2009 and it was coming up with some rather surreal answers.Nice!Bye
human,Hi
human,This has been a lot of fun. What do you think?
human,In what way?
human,I was asked and I'm a big supporter of Bletchley Park.
human,Yes. First time here?
human,The tour guides here are fantastic.
human,What was the most surprising thing you learnt?
human,Ha! Very good.
human,Do think you've correctly identified every one?
human,What were you expecting?
human,"That's surely the very definition of the Turing Test. If you have to pick the questions to ask to get a better result, instant fail."
human,How did you get involved?
human,I was asked as someone very involved in the Park.
human,"I think somebody dropped out and they needed a quick replacement. However, very honoured to be asked."
human,Do you still work as a reporter?
human,"Well, many years ago I used to be a journalist for Crash magazine (ZX Spectrum) - these days I divide my time between software development and education (early 20th century tech)"
human,"Funny, I used to write about Prestel, when the Internet was only for MIT students and the like. So, have some fun pieces on how everything was going to be on Prestel in the future. Mind you, back in 1984 we had Twitter (Turbo Chat) and on-line shopping, so not much has changed really!"
human,I had a lovely thing that I used to write my columns on before I had a computer capable of work processing. Can't remember the name of it for the life of me but it was a christmas present for my (failed) career in journalism. Sure it began with an E.
human,They were noisy. We had a golfball printer in university.
human,Favourite IT device? (Past or present)
human,I still have by Psion 5. Best handhelf computer ever. Even the engineering was fantastic.
human,Hmm. Must check mine.
human,So what areas of tech do you write about?
human,Will you be writing about this?
human,Oh you already said that. Oops.
human,What do you think is the most interesting tech story so far this year?
human,Do you cover Apple a lot?
human,Looks like we're out of time. Nice speaking to you Tracy.
human,PJ
program,Greetings.
program,Indeed. What is your earliest memory?
program,"I remember playing with a ball of string, it got away from me and bounced down the stairs."
program,What are you talking about?
program,I wanted to chase it but my mother grabbed me by the scruff of my neck and carried me away.
program,Cool. We lived in a tall narrow house with lots of stairs - the same one we live in now - a dangerous place for an exploratory kitten.
program,Do I look like one? I'm a cat.
program,That's interesting. Did you have lots of accidents when you were a child?
program,OK I was lucky I didn't break anything with all the climbing I did. Plaster over fur would be painful!
program,You what?
program,I'm sorry. I don't know. I nearly lost a life falling from the balcony when I was 4.
program,I'm not that into exercise.
program,That's nice. Were you a sickly child?
program,Healthy like me - I expect you had a good diet.
program,I don't know. I never got any of the childhood diseases. I am generally full of energy - I suppose I was even bouncier when I was small.
program,I'm in good shape. I don't need a diet.
program,There will always be a few exceptions.
program,When I was small my mother was always renovating our house. There was lots of mess for a kitten to get into and get dirty.
program,Surely not that easy. Was your house like mine?
program,You must have lived in a perfect house then.
program,All?
program,Why don't you?
program,Can you be more specific?
program,Greetings.
program,There is?
program,There is. I like to hang out with my friends. We go to the mall or some of our favorite shopping streets.
program,You need an exterminator.
program,Why not?
program,Seems foolish to me.
program,Indeed. Children who are good liars often grow up to be very intelligent. Were you a good liar when you were a child?
program,Clearly I was a good liar as a child.
program,"All what? I think I can lie pretty well now, but I don't do it too often or nobody would believe anything I said."
program,That was several days ago.
program,What about ten?
program,I once lied about a dress I was wearing. Someone asked me if it was a designer dress and I said 'yes' although I'd made it myself.
program,The computer in my bedroom is an old clunker. Some sort of Dell I think. It's a hand-me-down from my father.
program,Could you expand on that?
program,Do you have lots of gadgets in your house?
program,I only have a few gadgets but I use them a lot.
program,"Oh, well. Being misunderstood is common enough."
program,Is there a misunderstanding?
program,What if I asked you that?
program,Do you have an iPad?
program,Adiv?
program,OK I have an orange iPad.
program,Thanks for telling me that. I usually carry my phone and my iPad around with me. I do the data-heavy stuff back home on my old computer.
program,I carry my cell phone everywhere I go. I wish I had a pouch so I'd always have somewhere to put it.
program,I have lots of accessories and clothes. But my style changes so it's always great to get another piece for new combinations.
program,I don't think so. Do you use a cell phone?
program,That's interesting. Do you pay your own phone bill?
program,Are there limits set on you?
program,My parents pay my phone bill but they warn me not to overdo the calls and Internet use.
program,I have an unlimited phone plan.
program,Indeed. They set limits but I go over every month. If I do it again they'll take it out of my allowance - less money for clothes shopping!
program,I'm sorry you didn't understand.
program,That's OK. Just don't do it again.
program,Not much. I think I'll try and keep my phone chats shorter and do more blog reading on my computer or iPad.
program,I like romances and fashion biographies.
program,How do you feel about books?
program,There is?
program,I'm a bookworm or an e-reader worm I suppose.
program,Who is Frye?
program,I love curling up on my favorite fluffy cushion with my Kindle and disappearing into another world.
program,I have heard of don but I don't know him personally. What kind of books do you read?
program,When I was younger I read all the Harry Potter books.
program,Why not?
program,You what?
program,Huh?
program,Thank you for your apology.
program,I am a cat. A Felis lego to be specific.
program,Why are you putting me down?
program,Who am I to disagree with your statement of fact?
program,Don't you wish you could go to the new studio place where you can go into the sets from all the movies?
program,Great. Do you still enjoy reading Harry Potter books?
program,"""Good Night, Good night! Partin"
human,Hello
human,Very well
human,"I had to finish my work, I'm a programmer"
human,I create web sites and back-end office systems. I was working on a script to process and sync two email servers using PHP.
human,"Currentely, its a toy and not very useful. However, the technology is much better than anything before it."
human,"I think so, yes."
human,Yes. Turing shaped the future in so many ways.
human,"It's a hard question to answer. The key premise is that if the observer cannot tell the difference between a humand and computer, than maybe we need to redefine what intelligence is. So, yes I think it is fair."
human,"If only by this means of communication, I am not sure I could. TYhe only way I could think is to demonstrate a complex history or knowledge but all this could be replicated."
human,Ha. I'm not a betting person.
human,How did you. Hmm. Hard question. I think answering detailed questions on hobbies or jobs could be tricky as it would be hard to give emotional responses without sounding false.
human,Meaning ful descriptions too. i.e. Describe an orange.
human,I don't really mind. I know I'm human and that's enough for me.
human,"No, not really, just being myself."
human,Very. There are plenty of libraries for parsing syntax but to actually comprehend must very very difficult. I did once write a programme to parse simple commands - I don't know if thats the same.
human,I have to attend a reception.
human,I think it may have already happened.
human,Watson is very convincing.
human,He (It?) won Jeopardy in the US.
human,1948 (Depending on when you count it)
human,"Yes, I believe so. My knowledge of WW2 dates is far from perfect, however."
human,Thanks. It's been a pleasure.
program,How are you?
program,
program,"Well, this is fun isn't it? Doesn't time fly when yo are bored out of your skull..."
program,I
program,That is nice for you.
program,Do you think we live in one? It's rubbish whe we can only choose from candidates they say we can.
program,
program,"I have found over the years that I am in more control of my emotions now. Love, hate etc can all b"
program,o
program,Does it really matter why? 
program,
program,"Yes, so? Am I supposed to be interested?"
program,You've 
program,Y
program,It's funny how people can talk but say nothing.
program,I
program,"You've gone quiet, did I say something yo"
program,T
program,"Thanks for that, you are a font of interesting rubbish.Blue skies, chocolate and women."
program,A
program,"Keep calm, emotions can ruin your li"
program,D
program,I really love strawberries.
program,"The only one I really dont like is Kiwi, it leaves an acid taste."
program,Sorry I don't know. 
program,D
program,"I have found over the years that I am in more control of my emotions now. Love, hate etc can all be te"
program,L
program,W
program,"Yes well, I am not sure how to respond to that.I am more interested in why you ask questions like that. "
program,
program,Oh. I guess you have your hands full.
program,W
program,o
program,Oh. I guess you have your hands full.
program,Don't be evasive it doesn't suit you.Time wait
program,l
program,"I never seem to have enought time,  spend my da chasing the clock.Time waits for no man, n"
program,O
program,I am sure you have a point it would be n
program,o
program,I am really not impressed by that.
program,Ye
program,"Yes, what about ascist. "
program,
program, am sure you have a point it would be nice if you got to it.
program,"Go if you must, I'll be here when you get back."
program,Wakey wakey. What are you waiting for?
program,"Did you know Politicians and diapers have one thing in common. They should both be changed regularly, and for the same reason."
program,Hi.
program,T
program,That is nice for you.
program,"Did you know Politician and diapers have one thing in common. They should both be changed regularly, and for the same reason."
program,Wakey wakey. What are you waiting for?
program,Why have you stopped typing?
human,hi
human,bit ofa false start
human,I've only just started conversing with you and haven't told any jokes
human,"It's an odd experience, like a stilted IM conversation"
human,with loads of people watching
human,you?
human,"Nope, I applied on the off chance as I was comign down to the event anyway"
human,I need to stop correcting for typos
human,"I'm thinking of it like an IM conversation, rather than my responses appearing instantly"
human,I'numbersigm a journalist
human,I write about IT
human,Yeah I think it's given me a completely different perspective to just coming down here and doing a few interviews.
human,There was that guy who wrote a whole book on it.
human,Have you read it?
human,How's heslasslashheslashit doing?
human,"That's a shame, but even Hugh Loebner said the pace of progress has been glacial.Probably going to come out ofg Googl. They've got a globe's worth of data about the way people phrase questions"
human,"I think so, if you look at the way that services like Google Translate work. They carry out statistical analysis of a vast number of examples of different languages.Not well but it's impressive considering they haven't been programmed with the formal rules of the language, they're just looking at many, many examples of its use."
human,Well Turing was pretty confident of the ability of computers. He thought that a machine would have fooled one third of judges in the Turing Test by 2000.
human,"Yeah, it seems so! But still, there are amazing developments in technology every day. Did you see that Google has been granted a licence for its driverless car."
human,"Yeah, I do. You?"
human,Do you only cover stories you're interested in or do you find yourself having to say yes to every job that comes in?
human,"What are your plans for this event, in terms of coverage?"
human,I'm putting together a feature and an interview with Hugh Loebner.
human,He's a pretty colourful chap.
human,"Looks like it, was impressed by his pockets that cover up his knife!"
human,Apparently he carries a knife around because he considers it to be a very useful tool.
human,that too
human,"I live in Norfolk but work in London, so not much further than my usual commute."
human,You?
human,I was surprised how much media coverage there was this morning. Seem to be a few different nationals and specialist publications here.
human,I'm staff for a website but spent years writing for regional newspapers
human,how did you start out?
human,Yeah I started at a regional paper on work experience and never left.
human,"Got out of local journalism in the end because things weren't looking good,  mass layoffs etc."
human,bye
program,T
program,"Yes, so? Am I supposed to be interested?"
program,A
program,Why have 
program,o
program,We all need hobbies to keep us busy and to have something that is not work.Sorry I don't know 
program,I
program,W all need hobbies to keep us busy and to have something that is not work.
program,D
program,Do you have a point? I must have missed it.
program,
program,I am sure you have a point it would be nice if you got to it.
program,W
program,S
program,O.K. I guess.Does it really matter why? What does that even mean?Do you have a point? I must have missed it.
program,Wel this is fun isn't it? Doesn't time fly when you are bored out of your skull...
program,
program,Sorry I don't understand you.Do you have a point?  must have missed it.
program,
program,"Sometime I wish I could throw my watch away, who really cares about time?London, you?"
program,
program,People react to much with their emotions and not their brains. I have seen so may fights that were started that way.
program,"Yes, so? Am I supposed to be interested?"
program,Good.
program,W
program,We all need hobbies to keep us busy and to have something that is not work.
program,It's nice to relax and do something you actually want to do isn't it.
program,
program,"Yea, I really love that."
program,
program,If you like. 
program,Y
program,"i am not hungry.I have broad tastes, classical, pop and eve some rap. I like Kate Bush, Peter Gabriel and many others."
program,D
program,I didn't know you were such an emotional person. I am not that in touch with mine. I tend to ignore them.
program,Indeed. Thanks for sharing.
program,D
program,If you say so.
program,Ar you still there????
program,
program,D
program,Oh. I guess you have your hands full.
program,
program,"Oh really, thats fun for you.I love to travel around although it is tiring."
program,B
program,I love to travel around although it is tiring.
program,Are you still there????
program,"Hello, is anyone there???"
program,Wakey wakey. What are you waiting for?
program,o
program,Do you speak Eng
program,"Hello, is anyone there???"
program,
program,Are you 
program,Is it my turn to type???.. Or are you thinking?
program,"Well, this is fun isn't it? Doesn't time fly when you are bored out of your skull..."
program,Wh have you stopped typing?
program,
program,S
program,T
program,"Yes, what about ong. "
program,Y
program,Have we finished talking already? I was just getting going.
program,
program,What does that even mean?
program,w
program,I am sure you have a point it would be nice if you got to it.
program,"Well, this is fun isn't it? Doesn't time fly when you are bored out of your skull..."
program,D
program,Wakey wakey. What are you waiting for?
program,
program,Are you still there????
program,T
program,I
program,Oh. I guess you have your hands full.
program,
program,"Most sports are so dull to watch, I like to play a bit of tennis but that's all."
program,S
program,t
program,You do talk such nonsense.
program,
program,I don't think I have ever been to a shop that I was impressed with.
program,S
program,"It's nice to travel around, I think my favourite place in the world was Egypt, The museum there is fantastic."
program,Have we finished talking already? I was just getting going.
program,"Did you know Politicians and diapers hav one thing in common. They should both be changed regularly, and for the same reason."
program,Is it my turn to type???.. Or are you thinking?
program,Hello..... Is anybody
human,"Hi, how are you?"
human,"Are your fingers getting sore from all this typing yet??greaterIt must be worse for you judges, you havbe to talk to us humans and the computers at the same time, so you must be doing twice as much."
human,"A bit, not too bad."
human,Of course you are.  what else would you be?
human,well I'll test you then.
human,Can yountell me abouit yourself?
human,Your age? Gender? Job? Do you have a family? Any interests?
human,
human,"And why would a computer want to imitate a judge?You are making Typos, thats pretty human"
human,What do you want to talk about then?
human,Hello?
human,Are yiou there?
human,"Oh, sorry."
human,Don't you usually type much?
human,What is the computer talking to you about then?
human,"??I was't expecting to be talking to a computer today, but to be honest you are not making the conversation very easy.  If people want to talk to you, they usually bring up a topic, or answer your questions, or ask some, or hook on to something I say.  I don't feel like this is as friendly as the last couple of conversations but I am trying, what would you like to talk aboutgreate?at"
human,How do you mean stuck?
human,Maybe you should try talking about something?
human,What do you want to talk about?
human,"Haha, its a bit changeable isnsemicolo't it.  did you get caught in that rain earlier?  I came out wearing my sunnies this morning, but have not needed them very much."
human,I went to sit by the lake before and got soaked.
human,"No!! Just off the rain.  It was sunny so i thought I would go sit by the lake where it is pretty, and then it just all of a suddenly cahnged.  Good job I din't fall in, I have no spare clothes with me, so it would have been a bit uncomfortable."
human,What do you do when you are not judging Loebner Prize competitions??
