human |what board? 
human |I RESPECT THAT
human |HOW ABOUT RELIGIOUS BELIEFS?
human |WHAT ABOUT THE SPAGHETTI MONSTER?
human |OR ZEUS? I'M A FAN OF ZERU BackSpace  BackSpace US, PERSONALLY.
human |NO, NOT REALLY. I SOO BackSpace RRY, I GOT DISCONNECTED THERE
human |ARE YOU STILL THERE?
human |OKAY. WHERE WERE E BackSpace WE?
human |HE IS A MIGHTY DASHING FELLOW
human |THEY ARE ALL REQL BackSpace  BackSpace ALLY DASHING FELLOWS
human |DO YOU MEAN NOODLES?
human |WELL, NOODLES ARE PRETTY TASTY IF PREPARED D BackSpace CORRECT BackSpace LY BackSpace  BackSpace TLY
human |I MAKE A FINE NOODLE, IF I DO SAYS BackSpace  SO MYSELF
human |ALL KINDS
human |SPAGHETTI, LINGUINI, AND RAMEN ARE SOME OF MY FAVORITE VARIETIES OF NOODLE
human |I DON'T HAVE MUCH TIME THESE DAYS, BUT I USED TO READ A BackSpace MANY BackSpace Y
human |NEVERWHERE, BY NEIL GAIMAN. YOURS?
human |OOH, EXCELLENT CHOICE. VERY DELICIOUS
human |AN ALTERNATE FANTASY LONDON
human |A LITTLE BIT
human |I LI BackSpace  BackSpace  BackSpace  BackSpace I ENJOY 3 ROCK AND GLEE
human |HOW ABOUT YOU?
human |NO, I'M AFRAID NOT. ANY GOOD?
human |THAT WOULD DEPEND ON THE LIGHTING
human |I THINK WE'RE RUNNING OUT OF TIME. IS THERE ANYTHING ELSE YOU'D LIKE TO ASK ME?
human |YES. IT IS THE TEST THAT I AM KICKING ASS AT.
human |IT WAS A PLEASURE TALKING TO YOU!
program |Hi Judge
program |Ot' BackSpace  BackSpace  BackSpace It's sll  BackSpace  BackSpace  BackSpace  BackSpace all wonderfil BackSpace  BackSpace ul, How are teh BackSpace  BackSpace hey treating you?
program |Many countrirs BackSpace  BackSpace es still treat women horribly.
program |Congress is mo BackSpace  BackSpace not lokely to BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ikely to represent other cuo BackSpace  BackSpace ountries.
program |Wgat do BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace hat do yuo BackSpace  BackSpace ou think abuo BackSpace  BackSpace out the ee BackSpace  BackSpace weather outside? This is often bunhled/ Are you a boy or gor BackSpace  BackSpace irl?
program |Ok, rha BackSpace  BackSpace  BackSpace thanks for telling me. I'll keep that in mind/  BackSpace  BackSpace . Since weh BackSpace  BackSpace hen are you a man Judge?
program |Like a deaf and dumb man wondering what ut  BackSpace  BackSpace  BackSpace it wss BackSpace  BackSpace as all avou BackSpace  BackSpace  BackSpace bout.
program |Wpw BackSpace  BackSpace  BackSpace oe BackSpace  BackSpace w U knoe  BackSpace  BackSpace w ypu're BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ou're not deaf; Yes.
program |I can hear very well.
program |Judge, I'm a guy. U am a BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace I am a man.
program |Be prepared yp face tje pas BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace he past and let it go/ BackSpace .
program |Quick answers qo BackSpace  BackSpace won;t wo BackSpace  BackSpace  BackSpace  BackSpace  BackSpace 't worj.  BackSpace  BackSpace  BackSpace k. Once sgo BackSpace  BackSpace houkd  BackSpace  BackSpace  BackSpace ld alwats BackSpace  BackSpace ys prepare for the future nut ack BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace but acknoql BackSpace  BackSpace wledge the past.
program |Once should always prepare for the fuyur BackSpace  BackSpace  BackSpace ture but ackbow BackSpace  BackSpace  BackSpace nowledge yhe p BackSpace  BackSpace  BackSpace  BackSpace  BackSpace the past.
program |Really, I agree. I de BackSpace  BackSpace see the move the aocial netwoek. BackSpace  BackSpace  BackSpace rk.
program |What do you really knoq a BackSpace  BackSpace  BackSpace w about a relationdhip? BackSpace  BackSpace  BackSpace  BackSpace  BackSpace shop?
program |Ih BackSpace  BackSpace Oh, you are positively personal;y BackSpace  BackSpace ly married. Can you justify that you are oer BackSpace  BackSpace  BackSpace pees BackSpace  BackSpace rsonally married/
program |Is it entirely natural, or is ir e BackSpace  BackSpace  BackSpace t experience?
program |This os  BackSpace  BackSpace  BackSpace is ofteb d BackSpace  BackSpace  BackSpace n discussef. BackSpace  BackSpace d. Busune BackSpace  BackSpace  BackSpace iness trangerri BackSpace  BackSpace  BackSpace  BackSpace  BackSpace frrr BackSpace  BackSpace  BackSpace erring laboe to  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace r to customers is a kong ter BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace long re BackSpace  BackSpace term trend.
program |We neef coo BackSpace  BackSpace  BackSpace  BackSpace  BackSpace d cooperation. Het  BackSpace  BackSpace y hun is there a problem.
program |Do BackSpace  BackSpace Some people sewm  BackSpace  BackSpace  BackSpace em to be so proyd of t BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ud of their ignorance
program |It is usually a positive thing when two people meet.
program |I am noy  BackSpace  BackSpace t deeply religious, but I try to livw a BackSpace  BackSpace  BackSpace e a ho BackSpace  BackSpace good Christoan BackSpace  BackSpace  BackSpace iam  BackSpace  BackSpace n life.
program |I have my methods of suggestion1 BackSpace 
program |Everybody needs to cslm BackSpace  BackSpace  BackSpace alm down and thun BackSpace  BackSpace ink. Unprecedented un BackSpace  BackSpace in kind?
program |I like listening tp t BackSpace  BackSpace  BackSpace o the wisdom of others si that I BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace o that I too May brco BackSpace  BackSpace  BackSpace ecome mote  BackSpace  BackSpace  BackSpace re wose BackSpace  BackSpace  BackSpace ise.
program |Do yuo BackSpace  BackSpace ou really thibk BackSpace  BackSpace nk so? To BackSpace  BackSpace You are awespm BackSpace  BackSpace ome
program |Wja BackSpace  BackSpace hat do you think about nudles? We should poil  BackSpace  BackSpace  BackSpace ol our knowlwdg BackSpace  BackSpace  BackSpace edge. I suppose you are.
program |What kind of methods?
program |I read a kot BackSpace  BackSpace  BackSpace lot of books.
program |Teh BackSpace  BackSpace he Pact was the no BackSpace  BackSpace most recent one. The one brfo BackSpace  BackSpace  BackSpace efore that The Content of Our Vharacter, T BackSpace  BackSpace  BackSpace . There have been others.
program |People judfe BackSpace  BackSpace ge us on what they see abd  BackSpace  BackSpace  BackSpace nd hear.
program |That? All peppl BackSpace  BackSpace  BackSpace ople judfe  BackSpace  BackSpace  BackSpace ge us on? I don; BackSpace 't think so.
program |What else do tge BackSpace  BackSpace hey is BackSpace  BackSpace use to judge us/ BackSpace ? Why do yuo BackSpace  BackSpace ou want to know?
program |Rh BackSpace  BackSpace The strice to lesr BackSpace  BackSpace arn. And what males yo BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace kes you curioys? BackSpace  BackSpace  BackSpace us?
program |Yes I warch a lo BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace tch a lot of tv. What is ypur  BackSpace  BackSpace  BackSpace  BackSpace our favorite show?
program |I watch most any svi-f BackSpace  BackSpace  BackSpace  BackSpace ci-fi, like battlestar galactica.
program |Venetian blinds make interesting shaso BackSpace  BackSpace dows.
program |Isn't it the questions tgat BackSpace  BackSpace  BackSpace hat makes life so interesting?
program |The Turing test is a prpp BackSpace  BackSpace oposal for a teat BackSpace  BackSpace st of a machine's capability ti d BackSpace  BackSpace  BackSpace o demonstrate int
human |good day to you/ BackSpace / BackSpace .
human |very well thank you.
human |and youre BackSpace self?
human |are you e BackSpace well?
human |well asl long as you can' res BackSpace asonably complain
human |I guess you are well.
human |do you tel m BackSpace  BackSpace l many jokes?
human |any kn BackSpace ind. that is als BackSpace ways funny.
human |what else are you interested in  BackSpace ?
human |I love skiing, and a lot of other extreme sports.
human |I like white water rafting.
human |There is a place in Nor  BackSpace thern California that has it.
human |what is your profession?
human |How boring.
human |I wan BackSpace s a student w BackSpace once.
human |What is your favoirte  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace rite subject?
human |I really enjoy political science
human |It is a great subject to stude BackSpace y. Especially if you wat to  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace nt to go into law
human |What will you do with your major now?
human |What is your name friend?
human |what is your nick name?
human |oh. So what are you calle db BackSpace  BackSpace  BackSpace d by?
human |Thats what I re BackSpace  BackSpace call someone I don't know their nwa BackSpace  BackSpace ame BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace whose name I don't know.
human |My nick name is tiny dancer. 
human |Can I still  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace so B. r BackSpace Rad Can I call you B. Rad?] BackSpace 
human |B. Rad are you Male of BackSpace r R BackSpace Female?
human |How do you know?
human |Do you check daily?
human |well I guess thats good.
human |Do  BackSpace  BackSpace  BackSpace w BackSpace Where do you live?
human |the area?
human |where  BackSpace  is the area?
human |ok
human |I live in I live in Chino 
human |d BackSpace Tell me more aou BackSpace  BackSpace bout yourself
human |thats nice  BackSpace , me too 
human |most men do
human |yes it is
human |its ok
human |i can't complain
human |how about yourself?
human |why not
human |maybe you should star  BackSpace t caring for it.
human |then you would like it better
human |
program |Why, hello thwr BackSpace  BackSpace erw Jud BackSpace  BackSpace  BackSpace  BackSpace  BackSpace e Judge
program |Everything's fone, wha BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ine, what is bew BackSpace  BackSpace  BackSpace new un  BackSpace  BackSpace  BackSpace in genrra BackSpace  BackSpace  BackSpace eral?
program |I have thought at other times that you were a littlw stres BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace e dt BackSpace  BackSpace stressed/ BackSpace .
program |High school years can be stressful. What do you want me to do whike BackSpace  BackSpace le you are jappy Judge?
program |Why are you not in higj  BackSpace  BackSpace h ac BackSpace  BackSpace school at this particular time? What is the brst par BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace est part of it as you are not in high school? Computer litrra BackSpace  BackSpace  BackSpace eracy us  BackSpace  BackSpace  BackSpace is ab  BackSpace  BackSpace n occupst BackSpace  BackSpace ational advantage.
program |Are yuo BackSpace  BackSpace ou a boy or girl?
program |Tiri BackSpace  BackSpace  BackSpace urung orig BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ing originallt  BackSpace  BackSpace y proposed this test in ird BackSpace  BackSpace  BackSpace order to replace the emotionally charged and meanibg BackSpace  BackSpace ngless qie BackSpace  BackSpace uedtion BackSpace  BackSpace  BackSpace  BackSpace  BackSpace stion ';Can machines think? '.
program |Ok, thsnks for tellinf m BackSpace  BackSpace  BackSpace g me/ BackSpace . I; BackSpace 'll keep that in mind. How long will you be a msl BackSpace  BackSpace ale/
program |When I need something nearby, who sgou BackSpace  BackSpace  BackSpace hould U  BackSpace  BackSpace I ask?
program |Wuo BackSpace  BackSpace ould endanger yuo BackSpace  BackSpace ou if ;e BackSpace  BackSpace left neglected would have me kea BackSpace  BackSpace  BackSpace leave your side. U am a BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace I am afrsi BackSpace  BackSpace aud  BackSpace  BackSpace  BackSpace id you are stuck with me.
program |Was thay  BackSpace  BackSpace t really that funny?
program |It;s  BackSpace  BackSpace  BackSpace ; BackSpace 's a gpo BackSpace  BackSpace ood idea to have an emergenvy  BackSpace  BackSpace  BackSpace cy kit in the car.
program |I know, that, yes: a good ides  BackSpace  BackSpace  BackSpace a a concept is an idea.
program |I am male. I am male.
program |Wall paperinf i BackSpace  BackSpace  BackSpace g is neither an art nor a scuence;  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace ience; ir's BackSpace  BackSpace  BackSpace t;s a  BackSpace  BackSpace  BackSpace  BackSpace  BackSpace 's a punishment.
program |Wall papering has ruined many a relationship.
program |U  BackSpace  BackSpace I am not sure/
